Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Sales Value,,,,,,,715.20,"3,484.49","1,920.15","1,338.05",658.78,20.22,"8,136.89"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Sales (KG/LIT/000'U),,,,,,,7.49,36.48,20.57,15.00,10.81,0.29,90.64
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Sales Units,,,,,,,48,233.86,131.86,96.15,69.29,1.86,581.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Price per Sales (KG/LIT/000'U),,,,,,,95.51,95.51,93.35,89.21,60.95,69.73,89.78
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Numeric Distribution Selling (C),,,,,,,0.02,0.04,0.03,0.03,0.02,0.00,0.04
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CHIP COOKIES 156G,9300617061342,CHOCOLATE CHIP,Weighted Distribution - Reach - Product Segment,,,,,,,1.10,1.99,1.52,1.32,0.75,0.08,2.12
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Sales Value,"2,022.16","2,359.38","2,713.88","5,775.90","8,974.08","18,254.22","22,760.43","12,772.30","8,462.90","1,405.01",232.77,"8,029.51","93,762.53"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Sales (KG/LIT/000'U),22.42,26.654,28.55,60.55,99.53,199.63,257.85,150.75,101.21,27.36,2.92,86.55,"1,063.97"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Sales Units,143.716,170.859,183.00,388.14,638.04,"1,279.69","1,652.85",966.34,648.76,175.37,18.74,554.81,"6,820.33"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Price per Sales (KG/LIT/000'U),90.195,88.519,95.07,95.39,90.16,91.44,88.27,84.73,83.62,51.36,79.61,92.77,88.13
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Numeric Distribution Selling (C),0.021,0.034,0.04,0.04,0.09,0.24,0.32,0.18,0.09,0.04,0.02,0.08,0.43
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS CHOCOLATE 156GM,7622210764744,CHOCOLATE,Weighted Distribution - Reach - Product Segment,1.479,1.707,1.85,2.16,5.06,4.96,3.82,5.21,4.34,2.42,0.74,3.62,10.22
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Sales Value,"1,291.72","1,940","2,091.91","4,467.87","2,696.59","12,280.84","15,933.34","8,547.55","2,739.05",512.73,246.22,"4,308.96","57,056.84"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Sales (KG/LIT/000'U),14.58,21.77,23.71,50.30,30.26,137.83,180.69,98.57,31.16,6.93,4.77,48.39,648.96
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Sales Units,93.43,139.57,152.00,322.43,194.00,883.51,"1,158.28",631.86,199.71,44.43,30.57,310.21,"4,160.01"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Price per Sales (KG/LIT/000'U),88.626,89.104,88.22,88.83,89.10,89.10,88.18,86.72,87.92,73.98,51.63,89.04,87.92
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Numeric Distribution Selling (C),0.024,0.034,0.03,0.04,0.04,0.28,0.36,0.18,0.08,0.02,0.01,0.07,0.50
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CRUNCHY MELTS OREO CREME 156G,7622201148553,OREO CREME,Weighted Distribution - Reach - Product Segment,1.616,1.684,1.80,2.11,2.73,3.58,3.08,2.52,1.39,0.60,0.16,3.16,7.44
